time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-03T18:42:37.338Z,39.4106,143.1921,27.81,4.6,mb,,136,2.135,0.85,us,us70005bkw,2019-09-04T15:28:19.040Z,"107km E of Yamada, Japan",earthquake,6.1,5.7,0.071,60,reviewed,us,us
2019-08-28T23:46:39.453Z,41.0739,142.9911,17.16,6.1,mww,,31,0.948,0.88,us,us700059ee,2019-08-29T23:52:28.442Z,"141km ENE of Hachinohe, Japan",earthquake,5,3.9,0.073,18,reviewed,us,us
2019-08-28T12:32:35.971Z,42.6663,148.4249,10,4.7,mb,,167,3.958,0.67,us,us7000594v,2019-08-28T12:48:17.040Z,"187km SE of Shikotan, Russia",earthquake,4.7,1.9,0.045,146,reviewed,us,us
2019-08-26T15:13:31.117Z,35.4875,139.0518,19.43,4.6,mb,,112,1.077,0.65,us,us7000591s,2019-09-03T22:26:42.569Z,"15km SSW of Uenohara, Japan",earthquake,4.4,4.4,0.122,20,reviewed,us,us
2019-08-25T05:14:12.596Z,44.0353,139.0552,254.31,4.1,mb,,41,2.551,0.74,us,us700057y1,2019-08-25T09:13:57.040Z,"166km NW of Yoichi, Japan",earthquake,8.5,11.1,0.061,73,reviewed,us,us
2019-08-24T18:51:03.016Z,41.4871,142.0265,57.33,4.7,mb,,121,0.997,0.79,us,us700057w4,2019-08-29T00:04:03.476Z,"71km ENE of Mutsu, Japan",earthquake,5.9,6.4,0.045,149,reviewed,us,us
2019-08-24T12:07:55.337Z,30.6491,132.7497,10,4.5,mb,,132,2.937,0.52,us,us700059t4,2019-08-31T06:55:45.040Z,"167km E of Nishinoomote, Japan",earthquake,10.2,1.9,0.118,21,reviewed,us,us
2019-08-24T04:52:46.185Z,37.3765,142.4442,8.03,5,mww,,118,1.402,1.3,us,us700057sm,2019-08-27T05:55:02.732Z,"128km E of Namie, Japan",earthquake,6.6,4.5,0.073,18,reviewed,us,us
2019-08-23T18:11:20.015Z,37.247,141.8367,44.62,4.5,mb,,138,1.038,0.89,us,us700057mq,2019-08-24T17:29:32.040Z,"78km ESE of Namie, Japan",earthquake,6.1,7.1,0.096,32,reviewed,us,us
2019-08-23T18:05:20.811Z,38.3806,141.9551,36.41,4.5,mb,,80,1.051,1.05,us,us700057mh,2019-08-24T17:27:54.040Z,"57km E of Ishinomaki, Japan",earthquake,3.5,6.5,0.064,79,reviewed,us,us
2019-08-23T11:49:34.557Z,35.2488,140.0763,10,4.3,mb,,133,1.656,1.03,us,us700057sc,2019-08-26T16:27:53.882Z,"16km N of Kawaguchi, Japan",earthquake,5.5,1.9,0.169,10,reviewed,us,us
2019-08-22T12:39:58.653Z,29.9411,139.3901,387.46,4.1,mb,,117,3.185,0.71,us,us7000597f,2019-08-29T05:51:14.040Z,"Izu Islands, Japan region",earthquake,11.8,9.5,0.127,17,reviewed,us,us
2019-08-21T03:35:24.280Z,42.4607,143.0556,16.45,4.5,mb,,124,0.451,0.39,us,us600057t2,2019-08-21T04:13:31.040Z,"52km SSW of Obihiro, Japan",earthquake,5.7,3.3,0.083,42,reviewed,us,us
2019-08-18T10:06:41.771Z,38.5467,139.4268,12.61,4.5,mb,,68,1.269,0.61,us,us600056pa,2019-08-18T11:00:41.411Z,"35km N of Murakami, Japan",earthquake,5.1,5.1,0.11,24,reviewed,us,us
2019-08-17T22:28:38.201Z,30.9503,142.554,10,5,mb,,117,3.174,0.84,us,us600056ia,2019-08-17T22:47:19.040Z,"Izu Islands, Japan region",earthquake,8,1.9,0.044,167,reviewed,us,us
2019-08-16T04:37:49.908Z,41.3274,140.9064,133.01,4.3,mb,,100,0.55,1.13,us,us600055t5,2019-08-16T05:31:59.040Z,"26km W of Mutsu, Japan",earthquake,10.7,7.4,0.168,10,reviewed,us,us
2019-08-16T01:22:52.677Z,39.4242,143.2354,35,4.4,mb,,157,2.152,1.05,us,us700058dw,2019-08-29T00:49:40.040Z,"110km E of Yamada, Japan",earthquake,6.3,1.8,0.218,6,reviewed,us,us
