SCALERANK,NAME,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,LATITUDE,LONGITUDE,POP_MAX,POP_MIN
6,Provideniya,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,64.4234953,-173.2257937,2536,957
8,Enurmino,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,66.95000775,-171.8166032,297,297
6,Gambell,United States,USA,United States of America,USA,Alaska,US,63.77971031,-171.7310787,681,681
8,Lavrentiya,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,65.58326947,-171.0249978,1242,78
6,Uelen,Russia,RUS,Russia,RUS,Chukchi Autonomous Okrug,RU,66.15413931,-169.8105835,776,776
7,Nikolski,United States,USA,United States of America,USA,Alaska,US,52.93843406,-168.8676876,18,18
7,Wales,United States,USA,United States of America,USA,Alaska,US,65.60959861,-168.0875027,99,99
3,Point Hope,United States,USA,United States of America,USA,Alaska,US,68.34772605,-166.8080201,461,461
6,Unalaska,United States,USA,United States of America,USA,Alaska,US,53.868584,-166.5316028,3571,306
8,Teller,United States,USA,United States of America,USA,Alaska,US,65.26359906,-166.3607864,83,83
8,Mekoryuk,United States,USA,United States of America,USA,Alaska,US,60.38864671,-166.1899372,99,99
6,Hooper Bay,United States,USA,United States of America,USA,Alaska,US,61.53108787,-166.0965648,1079,167
7,Shishmaref,United States,USA,United States of America,USA,Alaska,US,66.25697512,-166.0718893,254,254
3,Nome,United States,USA,United States of America,USA,Alaska,US,64.50610008,-165.4063744,3485,2557
8,Tununak,United States,USA,United States of America,USA,Alaska,US,60.58548667,-165.2557892,352,352
8,Emmonak,United States,USA,United States of America,USA,Alaska,US,62.77698081,-164.5229916,100,100
7,Kivalina,United States,USA,United States of America,USA,Alaska,US,67.73149224,-164.4859034,374,374
8,Mountain Village,United States,USA,United States of America,USA,Alaska,US,62.08552431,-163.729009,755,755
7,Kotlit,United States,USA,United States of America,USA,Alaska,US,63.03458783,-163.5532833,1002,1002
7,False Pass,United States,USA,United States of America,USA,Alaska,US,54.85121136,-163.415023,35,35
3,Cold Bay,United States,USA,United States of America,USA,Alaska,US,55.20000144,-162.7150916,200,108
7,Kotzebue,United States,USA,United States of America,USA,Alaska,US,66.89869305,-162.5965975,3194,2553
7,Quinhagak,United States,USA,United States of America,USA,Alaska,US,59.74923281,-161.9157864,250,250
3,Bethel,United States,USA,United States of America,USA,Alaska,US,60.79330345,-161.7557961,6228,4653
8,Goodnews Bay,United States,USA,United States of America,USA,Alaska,US,59.12099265,-161.5871302,230,230
7,Koyuk,United States,USA,United States of America,USA,Alaska,US,64.94026874,-161.1574717,254,254
7,Unalakleet,United States,USA,United States of America,USA,Alaska,US,63.87342552,-160.7880516,741,741
8,Sand Point,United States,USA,United States of America,USA,Alaska,US,55.33970868,-160.4971908,667,667
6,Togiak,United States,USA,United States of America,USA,Alaska,US,59.07036101,-160.3783234,236,236
6,Wainwright,United States,USA,United States of America,USA,Alaska,US,70.63688865,-160.0383041,174,174
